City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Pevek,9.01,95,100,8.37,RU,69.7008,170.3133,2022-10-29 19:59:12
1,Marawi,69.8,90,100,7.7,PH,7.9986,124.2928,2022-10-29 19:59:13
2,Kirgiz-Miyaki,32.05,86,99,8.9,RU,53.6324,54.7979,2022-10-29 19:59:13
3,Pandan,80.26,86,86,17.9,PH,14.0453,124.1694,2022-10-29 19:59:13
4,Pisco,66.02,77,0,11.5,PE,-13.7,-76.2167,2022-10-29 19:59:14
5,Lumeje,68.77,84,84,3.33,AO,-11.55,20.7833,2022-10-29 19:59:14
6,Kenai,32.14,80,100,12.95,US,60.5544,-151.2583,2022-10-29 19:59:15
7,Haines Junction,12.15,92,100,1.14,CA,60.7522,-137.5108,2022-10-29 19:59:15
8,Butaritari,81.97,70,100,14.63,KI,3.0707,172.7902,2022-10-29 19:59:16
9,Tuktoyaktuk,14.0,79,100,13.8,CA,69.4541,-133.0374,2022-10-29 19:59:16
10,Avarua,77.05,73,75,17.27,CK,-21.2078,-159.775,2022-10-29 19:59:16
11,East London,70.97,81,55,14.74,ZA,-33.0153,27.9116,2022-10-29 19:55:15
12,Shingu,50.59,76,95,5.91,JP,33.7333,135.9833,2022-10-29 19:59:17
13,Russell,75.4,51,82,9.64,US,32.3502,-85.1999,2022-10-29 19:59:17
14,Nuuk,35.06,97,100,32.08,GL,64.1835,-51.7216,2022-10-29 19:59:18
15,Vaini,77.16,83,20,6.91,TO,-21.2,-175.2,2022-10-29 19:55:28
16,Moyo,65.48,97,97,2.64,UG,3.6609,31.7247,2022-10-29 19:59:19
17,Esperance,53.44,77,100,18.54,AU,-33.8667,121.9,2022-10-29 19:59:19
18,Khatanga,7.23,92,100,5.84,RU,71.9667,102.5,2022-10-29 19:59:20
19,Bethel,63.66,29,0,1.01,US,41.3712,-73.414,2022-10-29 19:57:24
20,Hami,39.85,27,0,10.56,CN,42.8,93.45,2022-10-29 19:59:20
21,Tasiilaq,34.63,98,100,17.74,GL,65.6145,-37.6368,2022-10-29 19:59:21
22,Camacha,67.42,83,40,2.3,PT,33.0833,-16.3333,2022-10-29 19:59:21
23,Hermanus,64.8,78,100,7.61,ZA,-34.4187,19.2345,2022-10-29 19:55:26
24,Bandarbeyla,78.13,69,13,9.51,SO,9.4942,50.8122,2022-10-29 19:59:22
25,Bara,79.36,29,96,7.43,NG,10.3744,10.7288,2022-10-29 19:59:22
26,Bluff,54.48,83,100,11.41,NZ,-46.6,168.3333,2022-10-29 19:59:23
27,Mahebourg,73.69,78,75,4.61,MU,-20.4081,57.7,2022-10-29 19:59:23
28,Cherskiy,1.72,97,100,5.32,RU,68.75,161.3,2022-10-29 19:59:24
29,Cape Town,65.26,73,0,16.11,ZA,-33.9258,18.4232,2022-10-29 19:59:24
30,Albany,63.57,33,0,2.8,US,42.6001,-73.9662,2022-10-29 19:59:25
31,Barrow,21.22,93,100,21.85,US,71.2906,-156.7887,2022-10-29 19:57:18
32,Ushuaia,38.86,93,100,20.71,AR,-54.8,-68.3,2022-10-29 19:59:25
33,Port Elizabeth,71.31,75,0,6.91,ZA,-33.918,25.5701,2022-10-29 19:59:26
34,Yar-Sale,19.96,91,100,12.62,RU,66.8333,70.8333,2022-10-29 19:59:26
35,Bengkulu,74.91,92,100,3.69,ID,-3.8004,102.2655,2022-10-29 19:59:27
36,Omsukchan,8.98,96,100,5.32,RU,62.5333,155.8,2022-10-29 19:57:11
37,Lorengau,82.2,75,100,7.31,PG,-2.0226,147.2712,2022-10-29 19:59:27
38,Chazuta,92.25,72,100,4.07,PE,-6.5742,-76.1367,2022-10-29 19:59:28
39,Thunder Bay,60.78,51,75,8.05,CA,48.4001,-89.3168,2022-10-29 19:55:37
40,Yandyki,45.68,80,99,5.26,RU,45.7691,47.1258,2022-10-29 19:59:28
41,Yumen,36.14,46,43,5.59,CN,40.2833,97.2,2022-10-29 19:59:29
42,Carutapera,82.89,72,16,12.08,BR,-1.195,-46.02,2022-10-29 19:58:35
43,Nanortalik,30.33,84,45,12.03,GL,60.1432,-45.2371,2022-10-29 19:59:30
44,New Norfolk,44.71,75,10,2.44,AU,-42.7826,147.0587,2022-10-29 20:00:30
45,Hofn,39.16,72,80,9.89,IS,64.2539,-15.2082,2022-10-29 20:00:31
46,Busselton,48.36,68,39,16.62,AU,-33.65,115.3333,2022-10-29 20:00:31
47,Filingue,84.96,16,0,7.54,NE,14.3521,3.3168,2022-10-29 20:00:32
48,Sao Filipe,80.55,69,84,7.29,CV,14.8961,-24.4956,2022-10-29 20:00:32
49,Payo,71.64,97,31,1.86,ID,-3.7508,103.6372,2022-10-29 20:00:32
50,Rawson,58.14,24,96,14.16,AR,-43.3002,-65.1023,2022-10-29 20:00:33
51,Castro,64.47,95,68,6.96,BR,-24.7911,-50.0119,2022-10-29 20:00:33
52,Kemin,49.51,54,100,7.74,KG,42.7846,75.6892,2022-10-29 20:00:34
